,average_main_abilities,average_sub_abilities,ability_count_mainwonsub,result
0,"tensor([-15.2727,   0.0000, 183.2727,  78.3636,   0.7273,  27.5455,  68.4545,
         66.1818,  65.3636,  65.0909,  65.8182,  71.5455,  74.8182,  57.6364,
         64.3636,  65.4545,  71.7273,  59.3636,  69.5455,  66.7273,  66.1818,
         71.1818,  72.0909,  65.7273,  66.5455,  66.2727,  69.6364,  63.0000,
         66.6364,  50.7273,  57.4545,  57.8182,  49.3636,  55.9091,  49.5455,
         16.4545,  16.9091,  15.2727,  15.0000,  16.0000])","tensor([ 13.8182,   0.0000, 183.7273,  77.3636,   0.8182,  27.0000,  69.6364,
         63.9091,  56.1818,  55.0909,  57.0000,  66.5455,  73.3636,  60.1818,
         57.5455,  59.1818,  72.9091,  55.5455,  68.5455,  61.9091,  63.9091,
         68.7273,  71.9091,  63.0000,  65.0909,  65.7273,  71.5455,  64.4545,
         65.1818,  50.0909,  52.3636,  54.7273,  43.4545,  50.5455,  48.1818,
         14.9091,  17.6364,  16.4545,  15.1818,  17.2727])",27,tensor([0])
1,"tensor([-15.2727,   0.0000, 185.6364,  79.8182,   0.9091,  24.7273,  76.3636,
         72.8182,  61.7273,  56.3636,  61.1818,  72.0909,  80.1818,  66.4545,
         61.9091,  74.5455,  78.2727,  66.1818,  76.8182,  71.5455,  74.0000,
         77.3636,  74.7273,  67.0909,  77.0909,  73.3636,  71.9091,  65.8182,
         77.0909,  59.8182,  64.5455,  67.5455,  56.3636,  61.6364,  58.6364,
         16.0000,  17.0909,  16.2727,  15.7273,  17.0000])","tensor([ 13.8182,   0.0000, 182.2727,  74.9091,   0.6364,  28.6364,  68.3636,
         66.4545,  57.4545,  56.6364,  59.0000,  71.6364,  73.2727,  61.0000,
         58.8182,  65.2727,  69.3636,  63.7273,  68.5455,  60.8182,  67.4545,
         68.0000,  70.4545,  67.4545,  68.0909,  70.2727,  65.3636,  60.1818,
         66.7273,  53.8182,  56.4545,  54.8182,  47.9091,  55.7273,  49.3636,
         16.5455,  17.3636,  15.9091,  15.8182,  16.9091])",32,tensor([0])
2,"tensor([-15.6364,   0.0000, 184.7273,  77.0000,   0.7273,  25.7273,  64.7273,
         61.5455,  57.4545,  50.5455,  54.0000,  60.2727,  68.0000,  52.1818,
         52.5455,  59.6364,  63.9091,  56.0000,  64.4545,  57.6364,  69.3636,
         69.9091,  70.2727,  63.0909,  68.5455,  66.2727,  63.9091,  56.7273,
         55.6364,  46.9091,  48.5455,  49.6364,  43.7273,  51.0909,  41.9091,
         15.2727,  16.9091,  16.7273,  15.3636,  15.4545])","tensor([ 15.2727,   0.0000, 182.9091,  80.1818,   0.8182,  26.3636,  76.3636,
         71.5455,  58.3636,  53.2727,  58.5455,  64.6364,  80.7273,  64.7273,
         58.6364,  69.9091,  76.4545,  63.1818,  75.9091,  68.2727,  71.0909,
         75.4545,  70.9091,  69.4545,  72.1818,  70.8182,  72.7273,  66.0000,
         70.6364,  60.4545,  61.9091,  62.0909,  54.5455,  56.7273,  59.6364,
         15.7273,  15.6364,  15.2727,  14.5455,  16.1818])",4,tensor([1])
3,"tensor([-15.2727,   0.0000, 182.9091,  79.7273,   0.7273,  26.7273,  75.9091,
         71.3636,  63.0909,  60.0000,  61.0909,  74.0000,  82.0000,  64.6364,
         62.5455,  69.2727,  78.0000,  64.4545,  76.5455,  72.6364,  70.9091,
         76.1818,  70.3636,  68.3636,  72.0909,  70.6364,  71.2727,  63.4545,
         75.2727,  61.3636,  64.9091,  63.3636,  57.0909,  60.3636,  54.6364,
         17.0000,  17.2727,  16.0000,  16.0000,  18.8182])","tensor([ 15.6364,   0.0000, 182.7273,  77.7273,   0.8182,  27.4545,  69.3636,
         64.2727,  57.4545,  56.7273,  59.9091,  71.4545,  74.2727,  60.5455,
         60.6364,  61.6364,  71.3636,  55.6364,  70.0000,  63.0000,  67.0909,
         72.0000,  70.0909,  65.0000,  67.3636,  67.0909,  69.8182,  60.8182,
         66.3636,  52.1818,  54.0000,  56.7273,  47.0000,  53.5455,  51.0000,
         16.5455,  16.9091,  16.4545,  15.4545,  18.3636])",35,tensor([1])
4,"tensor([-15.2727,   0.0000, 180.8182,  74.4545,   0.5455,  26.2727,  77.9091,
         73.2727,  66.1818,  59.1818,  64.6364,  67.6364,  83.0909,  66.0000,
         64.0909,  74.8182,  78.1818,  67.3636,  79.2727,  73.9091,  75.5455,
         75.2727,  70.3636,  72.9091,  75.0909,  74.0909,  69.3636,  58.0909,
         74.9091,  57.4545,  63.8182,  66.6364,  57.4545,  56.4545,  55.4545,
         19.6364,  18.2727,  16.4545,  16.8182,  16.1818])","tensor([ 15.6364,   0.0000, 181.2727,  77.2727,   1.0000,  26.5455,  72.6364,
         65.5455,  63.0909,  62.7273,  64.8182,  68.5455,  77.0000,  59.5455,
         63.6364,  66.5455,  74.0909,  63.2727,  73.0000,  65.0909,  70.1818,
         69.6364,  67.6364,  67.6364,  70.3636,  67.7273,  69.2727,  61.9091,
         66.2727,  53.5455,  54.2727,  55.4545,  48.7273,  50.8182,  53.0909,
         17.0000,  17.0000,  15.8182,  17.0000,  18.7273])",28,tensor([0])
5,"tensor([-15.6364,   0.0000, 182.9091,  77.1818,   0.6364,  27.4545,  68.0909,
         66.6364,  64.8182,  64.4545,  65.6364,  70.0000,  74.9091,  56.3636,
         63.7273,  65.0000,  71.7273,  59.6364,  69.4545,  65.1818,  68.3636,
         71.1818,  71.8182,  66.0909,  69.3636,  66.4545,  71.4545,  63.6364,
         68.6364,  50.3636,  57.9091,  57.6364,  47.6364,  52.3636,  46.7273,
         15.1818,  16.9091,  15.9091,  15.4545,  16.1818])","tensor([ 13.0909,   0.0000, 181.6364,  76.5455,   0.6364,  26.8182,  74.0909,
         71.6364,  59.8182,  55.0909,  59.0909,  68.5455,  75.5455,  59.7273,
         60.6364,  70.9091,  77.0909,  64.4545,  73.7273,  68.6364,  70.0909,
         73.3636,  70.6364,  70.0000,  72.2727,  71.1818,  72.0000,  58.7273,
         70.2727,  55.0909,  57.0909,  61.6364,  50.7273,  58.0000,  52.8182,
         17.9091,  17.3636,  18.0909,  16.5455,  15.5455])",12,tensor([2])
6,"tensor([-14.0000,   0.0000, 183.6364,  75.0909,   0.5455,  26.0909,  66.6364,
         62.4545,  53.3636,  50.9091,  55.6364,  62.6364,  70.1818,  59.5455,
         55.5455,  64.5455,  68.7273,  57.0000,  66.8182,  62.8182,  65.9091,
         76.2727,  70.2727,  65.7273,  68.4545,  65.9091,  64.4545,  58.6364,
         66.0909,  52.4545,  55.8182,  50.5455,  47.0000,  53.7273,  47.0909,
         15.1818,  15.8182,  14.5455,  16.4545,  17.4545])","tensor([ 14.0000,   0.0000, 182.5455,  76.5455,   0.5455,  25.3636,  77.4545,
         73.1818,  62.8182,  55.8182,  60.5455,  66.3636,  83.0909,  67.6364,
         60.4545,  75.1818,  80.7273,  67.6364,  79.5455,  75.3636,  76.6364,
         76.1818,  71.2727,  71.0909,  75.8182,  73.2727,  67.9091,  60.1818,
         76.8182,  58.0909,  62.4545,  65.0000,  55.7273,  56.1818,  54.1818,
         19.2727,  17.9091,  16.5455,  17.2727,  16.6364])",4,tensor([1])
7,"tensor([-15.2727,   0.0000, 183.3636,  74.4545,   0.7273,  24.8182,  70.7273,
         69.2727,  55.9091,  55.6364,  60.1818,  60.4545,  74.2727,  60.0909,
         56.0909,  68.8182,  69.4545,  64.8182,  71.5455,  67.9091,  71.2727,
         74.3636,  69.5455,  66.3636,  73.1818,  71.2727,  66.0909,  56.5455,
         68.5455,  56.5455,  58.5455,  59.6364,  54.0909,  52.3636,  50.5455,
         15.7273,  17.0000,  17.4545,  18.1818,  16.5455])","tensor([ 14.0000,   0.0000, 181.6364,  73.9091,   0.8182,  26.5455,  78.5455,
         74.6364,  67.1818,  62.2727,  68.6364,  74.8182,  84.1818,  67.7273,
         70.1818,  72.9091,  81.8182,  67.8182,  76.9091,  73.3636,  75.6364,
         80.1818,  72.6364,  74.6364,  75.8182,  75.7273,  71.5455,  63.0000,
         73.6364,  60.6364,  63.6364,  66.9091,  57.0000,  62.0000,  55.0000,
         14.8182,  17.2727,  17.0000,  17.0000,  16.0909])",6,tensor([2])
8,"tensor([-14.0000,   0.0000, 183.7273,  77.7273,   0.7273,  26.9091,  73.7273,
         70.6364,  63.8182,  60.9091,  64.3636,  74.1818,  79.2727,  64.1818,
         64.9091,  70.9091,  77.7273,  65.0000,  75.5455,  68.6364,  64.9091,
         74.0909,  76.1818,  66.0909,  66.9091,  67.0000,  73.8182,  67.7273,
         76.0000,  63.2727,  62.8182,  61.0000,  52.5455,  59.8182,  60.2727,
         16.0000,  17.9091,  17.0000,  16.3636,  17.8182])","tensor([ 14.0000,   0.0000, 182.7273,  76.2727,   0.8182,  28.0909,  78.8182,
         75.0909,  66.8182,  62.8182,  68.6364,  72.8182,  85.6364,  68.3636,
         69.8182,  75.8182,  82.3636,  69.5455,  78.1818,  76.1818,  72.5455,
         79.8182,  72.6364,  70.6364,  73.4545,  73.8182,  75.0909,  66.7273,
         75.9091,  62.0000,  66.1818,  71.0000,  57.6364,  64.8182,  58.3636,
         13.9091,  16.9091,  17.3636,  15.2727,  17.6364])",12,tensor([1])
9,"tensor([-15.2727,   0.0000, 180.9091,  77.7273,   0.8182,  24.9091,  75.3636,
         69.4545,  59.4545,  57.9091,  60.7273,  65.2727,  81.4545,  63.6364,
         60.9091,  72.4545,  76.4545,  65.0909,  76.8182,  70.0000,  71.0909,
         76.4545,  66.8182,  70.2727,  70.6364,  71.0909,  73.5455,  63.1818,
         68.5455,  57.7273,  54.8182,  61.6364,  54.6364,  59.4545,  55.1818,
         16.0909,  17.3636,  16.7273,  17.4545,  16.8182])","tensor([ 13.8182,   0.0000, 181.3636,  75.4545,   0.9091,  27.1818,  67.3636,
         64.2727,  52.8182,  52.4545,  54.7273,  68.0000,  74.4545,  57.7273,
         55.8182,  62.5455,  70.8182,  58.6364,  69.2727,  62.0909,  68.3636,
         68.5455,  67.5455,  66.5455,  65.7273,  65.1818,  67.5455,  60.2727,
         64.0909,  49.8182,  53.4545,  56.6364,  51.7273,  56.9091,  43.3636,
         17.2727,  17.9091,  17.6364,  16.5455,  17.3636])",29,tensor([1])
