ID,name,team,kit_number
192985,Kevin De Bruyne,Manchester City,17
20801,Cristiano Ronaldo,Manchester United,7
203376,Virgil van Dijk,Liverpool,4
212831,Alisson,Liverpool,1
210257,Ederson,Manchester City,31
208722,Sadio Mané,Liverpool,10
202126,Harry Kane,Tottenham Hotspur,10
239818,Rúben Dias,Manchester City,3
210514,João Cancelo,Manchester City,27
231866,Rodri,Manchester City,16
231281,Trent Alexander-Arnold,Liverpool,66
216267,Andy Robertson,Liverpool,26
212198,Bruno Fernandes,Manchester United,18
209499,Fabinho,Liverpool,3
202652,Raheem Sterling,Manchester City,7
193080,David de Gea,Manchester United,1
167948,Hugo Lloris,Tottenham Hotspur,1
234642,Édouard Mendy,Chelsea,16
208830,Jamie Vardy,Leicester City,9
205452,Antonio Rüdiger,Chelsea,2
204485,Riyad Mahrez,Manchester City,26
192505,Romelu Lukaku,Chelsea,9
189509,Thiago Alcántara,Liverpool,6
164240,Thiago Silva,Chelsea,6
233049,Jadon Sancho,Manchester United,25
224458,Diogo Jota,Liverpool,20
205498,Jorginho,Chelsea,5
201942,Roberto Firmino,Liverpool,9
201535,Raphaël Varane,Manchester United,19
188377,Kyle Walker,Manchester City,2
186942,Ilkay Gündogan,Manchester City,8
241084,Luis Díaz,Liverpool,23
237692,Phil Foden,Manchester City,47
235790,Kai Havertz,Chelsea,29
226790,Wilfred Ndidi,Leicester City,25
216393,Youri Tielemans,Leicester City,8
209989,Thomas Partey,Arsenal,5
207410,Mateo Kovacic,Chelsea,8
206517,Jack Grealish,Manchester City,10
202811,Emiliano Martínez,Aston Villa,1
197061,Joël Matip,Liverpool,32
186345,Kieran Trippier,Newcastle United,15
163587,Kasper Schmeichel,Leicester City,1
238074,Reece James,Chelsea,24
233419,Raphinha,Leeds United,10
233064,Mason Mount,Chelsea,19
230666,Gabriel Jesus,Manchester City,9
229984,Ben Chilwell,Chelsea,21
224293,Rúben Neves,Wolverhampton Wanderers,8
222665,Martin Ødegaard,Arsenal,8
212188,Timo Werner,Chelsea,11
210243,Ricardo Pereira,Leicester City,21
208670,Hakim Ziyech,Chelsea,22
203574,John Stones,Manchester City,5
200458,Lucas Digne,Aston Villa,27
184432,César Azpilicueta,Chelsea,28
183711,Jordan Henderson,Liverpool,14
246669,Bukayo Saka,Arsenal,7
236792,Tomás Soucek,West Ham United,28
232488,Cristian Romero,Tottenham Hotspur,4
231677,Marcus Rashford,Manchester United,10
227796,Christian Pulisic,Chelsea,10
220697,James Maddison,Leicester City,10
213661,Andreas Christensen,Chelsea,4
204838,Raúl Jiménez,Wolverhampton Wanderers,9
198717,Wilfried Zaha,Crystal Palace,11
193301,Alexandre Lacazette,Arsenal,9
190460,Christian Eriksen,Brentford,21
189242,Philippe Coutinho,Aston Villa,23
179813,Edinson Cavani,Manchester United,21
164835,Lukasz Fabianski,West Ham United,1
237238,Scott McTominay,Manchester United,39
236480,Yves Bissouma,Brighton & Hove Albion,8
233934,Aaron Ramsdale,Arsenal,32
232580,Gabriel,Arsenal,6
231943,Richarlison,Everton,7
229906,Leon Bailey,Aston Villa,31
227928,Nélson Semedo,Wolverhampton Wanderers,22
226491,Kieran Tierney,Arsenal,3
225100,Joe Gomez,Liverpool,12
224081,Kalvin Phillips,Leeds United,23
221479,Dominic Calvert-Lewin,Everton,9
216388,Allan Saint-Maximin,Newcastle United,10
212442,José Sá,Wolverhampton Wanderers,1
205569,James Ward-Prowse,Southampton,8
204935,Jordan Pickford,Everton,1
204311,Kurt Zouma,West Ham United,4
203841,Nick Pope,Burnley,1
203263,Harry Maguire,Manchester United,5
200949,Lucas Moura,Tottenham Hotspur,27
199914,Allan,Everton,6
193105,Alphonse Areola,West Ham United,13
192563,Bernd Leno,Arsenal,1
162347,João Moutinho,Wolverhampton Wanderers,28
135507,Fernandinho,Manchester City,25
247851,Bruno Guimarães,Newcastle United,39
247394,Dejan Kulusevski,Tottenham Hotspur,21
245279,Sergio Reguilón,Tottenham Hotspur,3
244470,Vladimír Coufal,West Ham United,5
240273,Emile Smith Rowe,Arsenal,10
239231,Marc Cucurella,Brighton & Hove Albion,3
237678,Ibrahima Konaté,Liverpool,5
234742,Harvey Barnes,Leicester City,7
233306,Dean Henderson,Manchester United,26
229880,Aaron Wan-Bissaka,Manchester United,29
226110,Nicolas Pépé,Arsenal,19
225953,Steven Bergwijn,Tottenham Hotspur,23
223689,Wout Weghorst,Burnley,9
221660,Victor Lindelöf,Manchester United,2
220971,Naby Keita,Liverpool,8
212462,Alex Telles,Manchester United,27
210455,Jonny,Wolverhampton Wanderers,19
209297,Fred,Manchester United,17
208421,Saúl Ñíguez,Chelsea,17
206585,Kepa Arrizabalaga,Chelsea,1
202695,James Tarkowski,Burnley,5
202335,Eric Dier,Tottenham Hotspur,15
195859,Danny Ings,Aston Villa,20
192638,Marcos Alonso,Chelsea,3
190717,Michail Antonio,West Ham United,9
183855,Angelo Ogbonna,West Ham United,21
241095,Nikola Vlasic,West Ham United,11
232119,Caglar Söyüncü,Leicester City,4
231936,Ben White,Arsenal,4
227813,Oleksandr Zinchenko,Manchester City,11
227678,Ezri Konsa,Aston Villa,4
227535,Rodrigo Bentancur,Tottenham Hotspur,30
227174,Matthew Cash,Aston Villa,2
226456,Pablo Fornals,West Ham United,8
226162,Emiliano Buendía,Aston Villa,10
224371,Jarrod Bowen,West Ham United,20
222501,Timothy Castagne,Leicester City,27
221363,Donny van de Beek,Everton,30
220793,Davinson Sánchez,Tottenham Hotspur,6
220407,Martin Dúbravka,Newcastle United,1
210881,John McGinn,Aston Villa,7
208135,Abdoulaye Doucouré,Everton,16
207599,Michael Keane,Everton,5
207421,Leandro Trossard,Brighton & Hove Albion,11
202048,Conor Coady,Wolverhampton Wanderers,16
199915,Lewis Dunk,Brighton & Hove Albion,5
199503,Granit Xhaka,Arsenal,34
196978,Callum Wilson,Newcastle United,9
191202,Nemanja Matic,Manchester United,31
189690,Vicente Guaita,Crystal Palace,13
189615,Aaron Cresswell,West Ham United,3
184484,Gylfi Sigurdsson,Everton,10
169588,Jonny Evans,Leicester City,6
251566,Gabriel Martinelli,Arsenal,35
248695,Wesley Fofana,Leicester City,3
247204,Emerson Royal,Tottenham Hotspur,12
240740,Callum Hudson-Odoi,Chelsea,20
238616,Pedro Neto,Wolverhampton Wanderers,7
238216,Conor Gallagher,Crystal Palace,23
234777,Zack Steffen,Manchester City,13
234574,Diogo Dalot,Manchester United,20
232938,Takehiro Tomiyasu,Arsenal,18
230977,Miguel Almirón,Newcastle United,24
226766,Daniel Podence,Wolverhampton Wanderers,10
225719,Kelechi Iheanacho,Leicester City,14
221697,Ollie Watkins,Aston Villa,11
220621,Saïd Benrahma,West Ham United,22
220523,Yerry Mina,Everton,13
215798,Maxwel Cornet,Burnley,20
212419,Tyrone Mings,Aston Villa,5
211515,Pierluigi Gollini,Tottenham Hotspur,22
211117,Dele Alli,Everton,36
208920,Nathan Aké,Manchester City,6
208295,Romain Saïss,Wolverhampton Wanderers,27
207494,Jesse Lingard,Manchester United,14
206534,Patrick Bamford,Leeds United,9
202750,Willy Boly,Wolverhampton Wanderers,15
199576,Oriol Romeu,Southampton,6
