timestamp,team1,team1_shape,team1_positions_x,team1_positions_y,team1_player1_name,team1_player2_name,team1_player3_name,team1_player4_name,team1_player5_name,team1_player6_name,team1_player7_name,team1_player8_name,team1_player9_name,team1_player10_name,team1_player11_name,team2,team2_shape,team2_positions_x,team2_positions_y,team2_player1_name,team2_player2_name,team2_player3_name,team2_player4_name,team2_player5_name,team2_player6_name,team2_player7_name,team2_player8_name,team2_player9_name,team2_player10_name,team2_player11_name,result,score
2020-09-12 19:30:00,FUL,4-2-3-1_L,"[-24, -19, -21, -21, -19, -15, -15, -11, -9, -11, -3]","[0, 9, 3, -3, -9, 3, -3, 9, 0, -9, 0]",Marek Rodak,Joe Bryan,Tim Ream,Michael Hector,Denis Odoi,Tom Cairney,Harrison Reed,Ivan Cavaleiro,Josh Onomah,Neeskens Kebano,Aboubakar Kamara,ARS,3-4-3_R,"[24, 18, 20, 18, 12, 12, 12, 12, 6, 4, 6]","[0, -8, 0, 8, -9, -3, 3, 9, -8, 0, 8]",Bernd Leno,Kieran Tierney,Gabriel1,Rob Holding,Ainsley Maitland-Niles,Granit Xhaka,Mohamed Elneny,Héctor Bellerín,Pierre-Emerick Aubameyang,Alexandre Lacazette,Willian,0,0-3
2020-09-12 22:00:00,CRY,4-4-2_L,"[-24, -18, -20, -20, -18, -10, -12, -12, -10, -4, -4]","[0, 9, 3, -3, -9, 9, 3, -3, -9, 3, -3]",Vicente Guaita,Tyrick Mitchell,Scott Dann,Cheikhou Kouyaté,Joel Ward,Jeff Schlupp,James McCarthy,James McArthur,Andros Townsend,Jordan Ayew,Wilfried Zaha,SOU,4-4-2_R,"[24, 18, 20, 20, 18, 10, 12, 12, 10, 4, 4]","[0, -9, -3, 3, 9, -9, -3, 3, 9, -3, 3]",Alex McCarthy,Ryan Bertrand,Jan Bednarek,Jack Stephens,Kyle Walker-Peters,Nathan Redmond,Oriol Romeu,James Ward-Prowse,William Smallbone,Danny Ings,Ché Adams,2,1-0
2020-09-13 00:30:00,LIV,4-3-3-d_L,"[-24, -18, -20, -20, -18, -12, -14, -12, -6, -4, -6]","[0, 9, 3, -3, -9, 3, 0, -3, 8, 0, -8]",Alisson,Andy Robertson,Virgil van Dijk,Joe Gomez,Trent Alexander-Arnold,Georginio Wijnaldum,Jordan Henderson,Naby Keita,Sadio Mané,Roberto Firmino,Mohamed Salah,LEE,4-1-4-1_R,"[24, 19, 21, 21, 19, 15, -7, 9, 9, 7, 3]","[0, -9, -3, 3, 9, 0, -9, -3, 3, 9, 0]",Illan Meslier,Stuart Dallas,Pascal Struijk,Robin Koch,Luke Ayling,Kalvin Phillips,Jack Harrison,Mateusz Klich,Pablo Hernández,Hélder Costa,Patrick Bamford,2,4-3
2020-09-13 03:00:00,WHU,4-2-3-1_L,"[-24, -19, -21, -21, -19, -15, -15, -11, -9, -11, -3]","[0, 9, 3, -3, -9, 3, -3, 9, 0, -9, 0]",Lukasz Fabianski,Aaron Cresswell,Angelo Ogbonna,Issa Diop,Ryan Fredericks,Declan Rice,Tomás Soucek,Pablo Fornals,Mark Noble,Jarrod Bowen,Michail Antonio,NEW,4-4-2_R,"[24, 18, 20, 20, 18, 10, 12, 12, 10, 4, 4]","[0, -9, -3, 3, 9, -9, -3, 3, 9, -3, 3]",Karl Darlow,Jamal Lewis,Federico Fernández,Jamaal Lascelles,Javier Manquillo,Allan Saint-Maximin,Isaac Hayden,Jonjo Shelvey,Jeff Hendrick,Andy Carroll,Callum Wilson,0,0-2
2020-09-13 21:00:00,WBA,5-4-1_L,"[-24, -18, -20, -20, -20, -18, -12, -12, -12, -12, -4]","[0, 10, 5, 0, -5, -10, 9, 3, -3, -9, 0]",Sam Johnstone,Kieran Gibbs,Dara O'Shea,Kyle Bartley,Semi Ajayi,Darnell Furlong,Grady Diangana,Romaine Sawyers,Jake Livermore,Matheus Pereira1,Callum Robinson,LEI,4-1-4-1_R,"[24, 19, 21, 21, 19, 15, -7, 9, 9, 7, 3]","[0, -9, -3, 3, 9, 0, -9, -3, 3, 9, 0]",Kasper Schmeichel,James Justin,Caglar Söyüncü,Wilfred Ndidi,Timothy Castagne,Nampalys Mendy,Harvey Barnes,Dennis Praet,Youri Tielemans,Ayoze Pérez,Jamie Vardy,0,0-3
2020-09-13 23:30:00,TOT,4-2-3-1_L,"[-24, -19, -21, -21, -19, -15, -15, -11, -9, -11, -3]","[0, 9, 3, -3, -9, 3, -3, 9, 0, -9, 0]",Hugo Lloris,Ben Davies1,Eric Dier,Toby Alderweireld,Matt Doherty,Harry Winks,Pierre-Emile Hojbjerg,Son Heung-Min,Dele Alli,Lucas Moura,Harry Kane,EVE,4-3-3-d_R,"[24, 18, 20, 20, 18, 12, 14, 12, 6, 4, 6]","[0, -9, -3, 3, 9, -3, 0, 3, -8, 0, 8]",Jordan Pickford,Lucas Digne,Michael Keane,Yerry Mina,Seamus Coleman,André Gomes,Allan,Abdoulaye Doucouré,Richarlison,Dominic Calvert-Lewin,James Rodríguez,0,0-1
2020-09-15 01:00:00,SHU,3-5-2_L,"[-24, -21, -21, -21, -11, -15, -9, -15, -11, -3, -3]","[0, 8, 0, -8, 9, 3, 0, -3, -9, 3, -3]",Aaron Ramsdale,Jack O'Connell,John Egan,Chris Basham,Enda Stevens,John Fleck,Oliver Norwood,John Lundstram,George Baldock,Billy Sharp,Oliver McBurnie,WOL,3-4-3_R,"[24, 18, 20, 18, 12, 12, 12, 12, 6, 4, 6]","[0, -8, 0, 8, -9, -3, 3, 9, -8, 0, 8]",Rui Patrício,Romain Saïss,Conor Coady,Willy Boly,Fernando Marçal,João Moutinho,Leander Dendoncker,Adama Traoré2,Pedro Neto,Daniel Podence,Raúl Jiménez,0,0-2
2020-09-15 03:15:00,BHA,3-5-2_L,"[-24, -21, -21, -21, -11, -15, -9, -15, -11, -3, -3]","[0, 8, 0, -8, 9, 3, 0, -3, -9, 3, -3]",Mat Ryan,Adam Webster,Lewis Dunk,Ben White,Solly March,Steven Alzate,Yves Bissouma,Adam Lallana,Tariq Lamptey,Leandro Trossard,Neal Maupay,CHE,4-4-2_R,"[24, 18, 20, 20, 18, 10, 12, 12, 10, 4, 4]","[0, -9, -3, 3, 9, -9, -3, 3, 9, -3, 3]",Kepa Arrizabalaga,Marcos Alonso,Kurt Zouma,Andreas Christensen,Reece James,Mason Mount,Jorginho,N'Golo Kanté,Kai Havertz,Timo Werner,Ruben Loftus-Cheek,0,1-3
2020-09-19 19:30:00,EVE,4-3-3-d_L,"[-24, -18, -20, -20, -18, -12, -14, -12, -6, -4, -6]","[0, 9, 3, -3, -9, 3, 0, -3, 8, 0, -8]",Jordan Pickford,Lucas Digne,Michael Keane,Yerry Mina,Seamus Coleman,André Gomes,Allan,Abdoulaye Doucouré,Richarlison,Dominic Calvert-Lewin,James Rodríguez,WBA,5-4-1_R,"[24, 18, 20, 20, 20, 18, 12, 12, 12, 12, 4]","[0, -10, -5, 0, 5, 10, -9, -3, 3, 9, 0]",Sam Johnstone,Kieran Gibbs,Dara O'Shea,Kyle Bartley,Semi Ajayi,Darnell Furlong,Grady Diangana,Romaine Sawyers,Jake Livermore,Matheus Pereira1,Callum Robinson,2,5-2
2020-09-19 22:00:00,LEE,4-1-4-1_L,"[-24, -19, -21, -21, -19, -15, -7, -9, -9, -7, -3]","[0, 9, 3, -3, -9, 0, 9, 3, -3, -9, 0]",Illan Meslier,Stuart Dallas,Liam Cooper,Robin Koch,Luke Ayling,Kalvin Phillips,Jack Harrison,Mateusz Klich,Rodrigo,Hélder Costa,Patrick Bamford,FUL,4-2-3-1_R,"[24, 19, 21, 21, 19, 15, 15, 11, 9, 11, 3]","[0, -9, -3, 3, 9, -3, 3, -9, 0, 9, 0]",Alphonse Areola,Joe Bryan,Denis Odoi,Michael Hector,Kenny Tete,Harrison Reed,André-Frank Zambo Anguissa,Ivan Cavaleiro,Josh Onomah,Aboubakar Kamara,Aleksandar Mitrovic,2,4-3
