,average_main_abilities,average_sub_abilities,ability_count_mainwonsub,result
0,"tensor([-15.2727,   0.0000, 185.6364,  79.8182,   0.9091,  24.7273,  76.3636,
         72.8182,  61.7273,  56.3636,  61.1818,  72.0909,  80.1818,  66.4545,
         61.9091,  74.5455,  78.2727,  66.1818,  76.8182,  71.5455,  74.0000,
         77.3636,  74.7273,  67.0909,  77.0909,  73.3636,  71.9091,  65.8182,
         77.0909,  59.8182,  64.5455,  67.5455,  56.3636,  61.6364,  58.6364,
         16.0000,  17.0909,  16.2727,  15.7273,  17.0000])","tensor([ 13.8182,   0.0000, 182.2727,  74.9091,   0.6364,  28.6364,  68.3636,
         66.4545,  57.4545,  56.6364,  59.0000,  71.6364,  73.2727,  61.0000,
         58.8182,  65.2727,  69.3636,  63.7273,  68.5455,  60.8182,  67.4545,
         68.0000,  70.4545,  67.4545,  68.0909,  70.2727,  65.3636,  60.1818,
         66.7273,  53.8182,  56.4545,  54.8182,  47.9091,  55.7273,  49.3636,
         16.5455,  17.3636,  15.9091,  15.8182,  16.9091])",32,tensor([0])
1,"tensor([-15.6364,   0.0000, 184.7273,  77.0000,   0.7273,  25.7273,  64.7273,
         61.5455,  57.4545,  50.5455,  54.0000,  60.2727,  68.0000,  52.1818,
         52.5455,  59.6364,  63.9091,  56.0000,  64.4545,  57.6364,  69.3636,
         69.9091,  70.2727,  63.0909,  68.5455,  66.2727,  63.9091,  56.7273,
         55.6364,  46.9091,  48.5455,  49.6364,  43.7273,  51.0909,  41.9091,
         15.2727,  16.9091,  16.7273,  15.3636,  15.4545])","tensor([ 15.2727,   0.0000, 182.9091,  80.1818,   0.8182,  26.3636,  76.3636,
         71.5455,  58.3636,  53.2727,  58.5455,  64.6364,  80.7273,  64.7273,
         58.6364,  69.9091,  76.4545,  63.1818,  75.9091,  68.2727,  71.0909,
         75.4545,  70.9091,  69.4545,  72.1818,  70.8182,  72.7273,  66.0000,
         70.6364,  60.4545,  61.9091,  62.0909,  54.5455,  56.7273,  59.6364,
         15.7273,  15.6364,  15.2727,  14.5455,  16.1818])",4,tensor([1])
2,"tensor([-15.2727,   0.0000, 182.9091,  79.7273,   0.7273,  26.7273,  75.9091,
         71.3636,  63.0909,  60.0000,  61.0909,  74.0000,  82.0000,  64.6364,
         62.5455,  69.2727,  78.0000,  64.4545,  76.5455,  72.6364,  70.9091,
         76.1818,  70.3636,  68.3636,  72.0909,  70.6364,  71.2727,  63.4545,
         75.2727,  61.3636,  64.9091,  63.3636,  57.0909,  60.3636,  54.6364,
         17.0000,  17.2727,  16.0000,  16.0000,  18.8182])","tensor([ 15.6364,   0.0000, 182.7273,  77.7273,   0.8182,  27.4545,  69.3636,
         64.2727,  57.4545,  56.7273,  59.9091,  71.4545,  74.2727,  60.5455,
         60.6364,  61.6364,  71.3636,  55.6364,  70.0000,  63.0000,  67.0909,
         72.0000,  70.0909,  65.0000,  67.3636,  67.0909,  69.8182,  60.8182,
         66.3636,  52.1818,  54.0000,  56.7273,  47.0000,  53.5455,  51.0000,
         16.5455,  16.9091,  16.4545,  15.4545,  18.3636])",35,tensor([1])
3,"tensor([-14.0000,   0.0000, 183.6364,  75.0909,   0.5455,  26.0909,  66.6364,
         62.4545,  53.3636,  50.9091,  55.6364,  62.6364,  70.1818,  59.5455,
         55.5455,  64.5455,  68.7273,  57.0000,  66.8182,  62.8182,  65.9091,
         76.2727,  70.2727,  65.7273,  68.4545,  65.9091,  64.4545,  58.6364,
         66.0909,  52.4545,  55.8182,  50.5455,  47.0000,  53.7273,  47.0909,
         15.1818,  15.8182,  14.5455,  16.4545,  17.4545])","tensor([ 14.0000,   0.0000, 182.5455,  76.5455,   0.5455,  25.3636,  77.4545,
         73.1818,  62.8182,  55.8182,  60.5455,  66.3636,  83.0909,  67.6364,
         60.4545,  75.1818,  80.7273,  67.6364,  79.5455,  75.3636,  76.6364,
         76.1818,  71.2727,  71.0909,  75.8182,  73.2727,  67.9091,  60.1818,
         76.8182,  58.0909,  62.4545,  65.0000,  55.7273,  56.1818,  54.1818,
         19.2727,  17.9091,  16.5455,  17.2727,  16.6364])",4,tensor([1])
4,"tensor([-15.2727,   0.0000, 183.3636,  74.4545,   0.7273,  24.8182,  70.7273,
         69.2727,  55.9091,  55.6364,  60.1818,  60.4545,  74.2727,  60.0909,
         56.0909,  68.8182,  69.4545,  64.8182,  71.5455,  67.9091,  71.2727,
         74.3636,  69.5455,  66.3636,  73.1818,  71.2727,  66.0909,  56.5455,
         68.5455,  56.5455,  58.5455,  59.6364,  54.0909,  52.3636,  50.5455,
         15.7273,  17.0000,  17.4545,  18.1818,  16.5455])","tensor([ 14.0000,   0.0000, 181.6364,  73.9091,   0.8182,  26.5455,  78.5455,
         74.6364,  67.1818,  62.2727,  68.6364,  74.8182,  84.1818,  67.7273,
         70.1818,  72.9091,  81.8182,  67.8182,  76.9091,  73.3636,  75.6364,
         80.1818,  72.6364,  74.6364,  75.8182,  75.7273,  71.5455,  63.0000,
         73.6364,  60.6364,  63.6364,  66.9091,  57.0000,  62.0000,  55.0000,
         14.8182,  17.2727,  17.0000,  17.0000,  16.0909])",6,tensor([2])
5,"tensor([-15.2727,   0.0000, 183.1818,  80.0000,   0.8182,  26.8182,  76.4545,
         71.9091,  66.3636,  60.3636,  61.0909,  72.3636,  82.0000,  64.6364,
         62.1818,  69.2727,  78.4545,  64.9091,  77.6364,  71.8182,  72.5455,
         75.6364,  74.1818,  69.8182,  75.5455,  69.7273,  72.0000,  65.6364,
         76.3636,  57.9091,  63.0909,  64.0909,  53.0909,  59.0909,  55.5455,
         17.2727,  17.5455,  16.4545,  17.0909,  18.1818])","tensor([ 15.6364,   0.0000, 182.3636,  77.3636,   0.6364,  27.5455,  68.5455,
         66.4545,  65.0000,  64.5455,  65.9091,  71.0000,  74.9091,  56.5455,
         64.0909,  65.8182,  72.5455,  60.3636,  69.7273,  66.3636,  67.0909,
         72.2727,  72.8182,  66.8182,  68.6364,  66.2727,  73.2727,  64.9091,
         69.3636,  51.0000,  59.0909,  58.0000,  47.6364,  51.2727,  47.6364,
         14.3636,  16.6364,  16.3636,  15.8182,  16.5455])",33,tensor([1])
6,"tensor([-14.0000,   0.0000, 183.0909,  77.6364,   0.7273,  26.0909,  66.1818,
         64.0909,  56.8182,  50.3636,  54.1818,  60.8182,  69.3636,  56.0909,
         54.4545,  62.6364,  64.1818,  57.5455,  65.4545,  60.1818,  67.2727,
         69.8182,  68.4545,  64.6364,  67.0909,  67.0909,  67.0909,  55.7273,
         59.0000,  51.3636,  53.0909,  56.6364,  49.6364,  54.4545,  45.7273,
         15.0909,  17.6364,  16.6364,  16.3636,  15.7273])","tensor([ 13.8182,   0.0000, 184.5455,  78.2727,   0.6364,  27.7273,  68.6364,
         64.5455,  59.0909,  55.9091,  60.1818,  72.2727,  74.7273,  61.3636,
         59.8182,  65.7273,  72.6364,  61.4545,  68.6364,  63.6364,  63.1818,
         71.9091,  74.2727,  64.2727,  64.1818,  63.0909,  76.1818,  66.0909,
         69.0000,  52.6364,  54.0909,  61.5455,  57.8182,  55.1818,  49.1818,
         16.1818,  16.4545,  17.6364,  17.8182,  16.4545])",6,tensor([1])
7,"tensor([-15.2727,   0.0000, 183.3636,  74.4545,   0.7273,  24.9091,  70.9091,
         69.3636,  56.1818,  55.6364,  60.1818,  60.7273,  74.3636,  60.0909,
         56.0909,  68.9091,  69.7273,  64.9091,  71.6364,  68.2727,  71.2727,
         74.3636,  69.5455,  66.3636,  73.2727,  71.2727,  66.2727,  56.8182,
         68.5455,  56.7273,  58.5455,  59.6364,  54.0909,  52.3636,  50.5455,
         15.7273,  17.0000,  17.4545,  18.1818,  16.5455])","tensor([ 15.6364,   0.0000, 183.7273,  75.6364,   0.3636,  26.0000,  67.9091,
         64.5455,  51.3636,  48.1818,  51.5455,  60.6364,  70.3636,  60.4545,
         50.9091,  66.3636,  68.0000,  57.8182,  67.5455,  61.0909,  69.9091,
         75.4545,  67.3636,  65.6364,  71.3636,  66.6364,  63.5455,  57.6364,
         67.5455,  53.8182,  55.9091,  55.4545,  48.8182,  55.9091,  50.0909,
         14.9091,  16.0909,  14.6364,  16.1818,  16.3636])",31,tensor([0])
8,"tensor([-13.8182,   0.0000, 182.0000,  76.0909,   0.9091,  26.9091,  67.0909,
         64.1818,  55.1818,  54.8182,  57.8182,  68.3636,  74.3636,  57.7273,
         58.9091,  63.1818,  70.7273,  58.5455,  69.8182,  63.2727,  67.2727,
         70.0909,  68.7273,  65.4545,  64.5455,  65.0909,  68.2727,  61.0000,
         64.4545,  50.3636,  55.1818,  56.5455,  51.7273,  56.4545,  42.6364,
         17.4545,  18.1818,  17.6364,  16.9091,  17.8182])","tensor([ 14.0000,   0.0000, 184.4545,  77.6364,   0.7273,  26.4545,  73.6364,
         68.8182,  60.6364,  57.4545,  60.0000,  68.9091,  78.2727,  62.0000,
         60.8182,  70.0909,  75.9091,  63.9091,  75.1818,  68.0909,  64.5455,
         74.2727,  76.0000,  65.8182,  66.2727,  66.6364,  71.4545,  63.2727,
         73.3636,  60.3636,  62.5455,  58.8182,  50.0909,  59.2727,  56.6364,
         16.4545,  18.3636,  16.0909,  17.2727,  18.3636])",6,tensor([2])
9,"tensor([-14.9091,   0.0000, 182.0000,  74.8182,   0.8182,  26.2727,  68.8182,
         65.2727,  54.2727,  52.0000,  55.0000,  57.1818,  73.3636,  59.4545,
         53.9091,  61.8182,  73.5455,  56.6364,  68.6364,  62.2727,  69.5455,
         71.7273,  68.3636,  67.4545,  70.7273,  69.7273,  68.0909,  57.5455,
         64.7273,  53.5455,  54.8182,  58.6364,  49.7273,  53.2727,  50.9091,
         16.0000,  16.0909,  16.1818,  15.3636,  17.1818])","tensor([ 15.4545,   0.0000, 184.0909,  77.8182,   0.8182,  26.9091,  72.9091,
         68.2727,  65.7273,  63.7273,  67.2727,  73.8182,  77.4545,  62.2727,
         67.5455,  69.3636,  75.0000,  62.2727,  75.1818,  69.6364,  63.1818,
         75.1818,  75.5455,  64.9091,  64.8182,  64.9091,  72.6364,  64.9091,
         75.9091,  58.7273,  62.0909,  56.4545,  47.2727,  57.7273,  56.1818,
         17.7273,  18.4545,  16.3636,  17.2727,  17.8182])",6,tensor([2])
