timestamp,team1,team1_shape,team1_player1_name,team1_player2_name,team1_player3_name,team1_player4_name,team1_player5_name,team1_player6_name,team1_player7_name,team1_player8_name,team1_player9_name,team1_player10_name,team1_player11_name,team2,team2_shape,team2_player1_name,team2_player2_name,team2_player3_name,team2_player4_name,team2_player5_name,team2_player6_name,team2_player7_name,team2_player8_name,team2_player9_name,team2_player10_name,team2_player11_name,result,score
"7:30 PM CT,September 12, 2020",FUL,4-2-3-1_L,Marek Rodak,Joe Bryan,Tim Ream,Michael Hector,Denis Odoi,Tom Cairney,Harrison Reed,Ivan Cavaleiro,Josh Onomah,Neeskens Kebano,Aboubakar Kamara,ARS,3-4-3_R,Bernd Leno,Kieran Tierney,Gabriel1,Rob Holding,Ainsley Maitland-Niles,Granit Xhaka,Mohamed Elneny,Héctor Bellerín,Pierre-Emerick Aubameyang,Alexandre Lacazette,Willian,-1,0-3
"10:00 PM CT,September 12, 2020",CRY,4-4-2_L,Vicente Guaita,Tyrick Mitchell,Scott Dann,Cheikhou Kouyaté,Joel Ward,Jeff Schlupp,James McCarthy,James McArthur,Andros Townsend,Jordan Ayew,Wilfried Zaha,SOU,4-4-2_R,Alex McCarthy,Ryan Bertrand,Jan Bednarek,Jack Stephens,Kyle Walker-Peters,Nathan Redmond,Oriol Romeu,James Ward-Prowse,William Smallbone,Danny Ings,Ché Adams,1,1-0
"12:30 AM CT,September 13, 2020",LIV,4-3-3-d_L,Alisson,Andy Robertson,Virgil van Dijk,Joe Gomez,Trent Alexander-Arnold,Georginio Wijnaldum,Jordan Henderson,Naby Keita,Sadio Mané,Roberto Firmino,Mohamed Salah,LEE,4-1-4-1_R,Illan Meslier,Stuart Dallas,Pascal Struijk,Robin Koch,Luke Ayling,Kalvin Phillips,Jack Harrison,Mateusz Klich,Pablo Hernández,Hélder Costa,Patrick Bamford,1,4-3
"3:00 AM CT,September 13, 2020",WHU,4-2-3-1_L,Lukasz Fabianski,Aaron Cresswell,Angelo Ogbonna,Issa Diop,Ryan Fredericks,Declan Rice,Tomás Soucek,Pablo Fornals,Mark Noble,Jarrod Bowen,Michail Antonio,NEW,4-4-2_R,Karl Darlow,Jamal Lewis,Federico Fernández,Jamaal Lascelles,Javier Manquillo,Allan Saint-Maximin,Isaac Hayden,Jonjo Shelvey,Jeff Hendrick,Andy Carroll,Callum Wilson,-1,0-2
"9:00 PM CT,September 13, 2020",WBA,5-4-1_L,Sam Johnstone,Kieran Gibbs,Dara O'Shea,Kyle Bartley,Semi Ajayi,Darnell Furlong,Grady Diangana,Romaine Sawyers,Jake Livermore,Matheus Pereira1,Callum Robinson,LEI,4-1-4-1_R,Kasper Schmeichel,James Justin,Caglar Söyüncü,Wilfred Ndidi,Timothy Castagne,Nampalys Mendy,Harvey Barnes,Dennis Praet,Youri Tielemans,Ayoze Pérez,Jamie Vardy,-1,0-3
"11:30 PM CT,September 13, 2020",TOT,4-2-3-1_L,Hugo Lloris,Ben Davies1,Eric Dier,Toby Alderweireld,Matt Doherty,Harry Winks,Pierre-Emile Hojbjerg,Son Heung-Min,Dele Alli,Lucas Moura,Harry Kane,EVE,4-3-3-d_R,Jordan Pickford,Lucas Digne,Michael Keane,Yerry Mina,Seamus Coleman,André Gomes,Allan,Abdoulaye Doucouré,Richarlison,Dominic Calvert-Lewin,James Rodríguez,-1,0-1
"1:00 AM CT,September 15, 2020",SHU,3-5-2_L,Aaron Ramsdale,Jack O'Connell,John Egan,Chris Basham,Enda Stevens,John Fleck,Oliver Norwood,John Lundstram,George Baldock,Billy Sharp,Oliver McBurnie,WOL,3-4-3_R,Rui Patrício,Romain Saïss,Conor Coady,Willy Boly,Fernando Marçal,João Moutinho,Leander Dendoncker,Adama Traoré2,Pedro Neto,Daniel Podence,Raúl Jiménez,-1,0-2
"3:15 AM CT,September 15, 2020",BHA,3-5-2_L,Mat Ryan,Adam Webster,Lewis Dunk,Ben White,Solly March,Steven Alzate,Yves Bissouma,Adam Lallana,Tariq Lamptey,Leandro Trossard,Neal Maupay,CHE,4-4-2_R,Kepa Arrizabalaga,Marcos Alonso,Kurt Zouma,Andreas Christensen,Reece James,Mason Mount,Jorginho,N'Golo Kanté,Kai Havertz,Timo Werner,Ruben Loftus-Cheek,-1,1-3
"7:30 PM CT,September 19, 2020",EVE,4-3-3-d_L,Jordan Pickford,Lucas Digne,Michael Keane,Yerry Mina,Seamus Coleman,André Gomes,Allan,Abdoulaye Doucouré,Richarlison,Dominic Calvert-Lewin,James Rodríguez,WBA,5-4-1_R,Sam Johnstone,Kieran Gibbs,Dara O'Shea,Kyle Bartley,Semi Ajayi,Darnell Furlong,Grady Diangana,Romaine Sawyers,Jake Livermore,Matheus Pereira1,Callum Robinson,1,5-2
"10:00 PM CT,September 19, 2020",LEE,4-1-4-1_L,Illan Meslier,Stuart Dallas,Liam Cooper,Robin Koch,Luke Ayling,Kalvin Phillips,Jack Harrison,Mateusz Klich,Rodrigo,Hélder Costa,Patrick Bamford,FUL,4-2-3-1_R,Alphonse Areola,Joe Bryan,Denis Odoi,Michael Hector,Kenny Tete,Harrison Reed,André-Frank Zambo Anguissa,Ivan Cavaleiro,Josh Onomah,Aboubakar Kamara,Aleksandar Mitrovic,1,4-3
